Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
HOYA,MP-FDS2,Pref,2.001784,19.324978,Schott,3.77E+00,-2.04E-02,6.39E-02,8.35E-03,-8.20E-04,1.03E-04,,2.013936,19.168,,2.0423546,,1.9894562,,2.039048787,,1.987208997,,,,,,,,,,,,,,
HOYA,MC-FDS2,Pref,2.001784,19.324978,Schott,3.77E+00,-2.04E-02,6.39E-02,8.35E-03,-8.20E-04,1.03E-04,,2.013936,19.168,,2.0423546,,1.9894562,,2.039048787,,1.987208997,,,,,,,,,,,,,,
HOYA,M-FDS2,Pref,2.001784,19.324978,Schott,3.77E+00,-2.04E-02,6.39E-02,8.35E-03,-8.20E-04,1.03E-04,,2.013936,19.168,,2.0423546,,1.9894562,,2.039048787,,1.987208997,,,,,,,,,,,,,,
SUMITA,K-PSFN2,Stan,2.001713,20.655816,Schott,3.77E+00,-1.30E-02,7.23E-02,3.51E-03,-1.04E-05,3.86E-05,,2.013098,20.489,,2.0395696,,1.9901243,,2.036503244,,1.988006907,,,,,,,,,,,,,,
HOYA,E-FDS2,Pref,2.002723,19.317191,Schott,3.77E+00,-1.70E-02,6.98E-02,6.39E-03,-5.08E-04,8.45E-05,,2.014888,19.160,,2.0433460,,1.9903770,,2.040034416,,1.988125112,,,,,,,,,,,,,,
SUMITA,K-PSFN2(M),Stan,1.99671,20.638764,Schott,3.75E+00,-1.31E-02,7.04E-02,4.10E-03,-1.27E-04,4.64E-05,,2.008049,20.473,,2.0344067,,1.9851685,,2.031353961,,1.983059947,,,,,,,,,,,,,,
HOYA,FDS16-W,Pref,1.986125,16.483901,Schott,3.69E+00,-2.78E-02,6.31E-02,1.24E-02,-1.48E-03,1.75E-04,,2.000094,16.354,,2.0332009,,1.9720464,,2.029313476,,1.969488794,,,,,,,,,,,,,,
HOYA,TAFD45,Pref,1.953747,32.31876,Schott,3.67E+00,-1.52E-02,4.57E-02,2.19E-03,-9.94E-05,1.49E-05,,1.960734,32.084,,1.9764251,,1.9464809,,1.974646429,,1.945135284,,,,,,,,,,,,,,
NHG,H-ZLAF77A,Stan,1.953751,32.312957,Schott,3.67E+00,-1.50E-02,4.56E-02,2.29E-03,-1.22E-04,1.65E-05,,1.960740,32.079,,1.9764309,,1.9464819,,1.974652388,,1.945135831,,,,,,,,,,,,,,
NHG,H-ZLAF77,Stan,1.953746,32.30861,Schott,3.67E+00,-1.50E-02,4.58E-02,2.18E-03,-1.01E-04,1.51E-05,,1.960735,32.075,,1.9764288,,1.9464759,,1.974650031,,1.945129667,,,,,,,,,,,,,,
CDGM,H-ZLAF89L,Stan,1.953749,32.318108,Schott,3.67E+00,-1.37E-02,4.84E-02,1.32E-03,2.42E-05,8.50E-06,,1.960735,32.085,,1.9764215,,1.9464783,,1.974642644,,1.945130843,,,,,,,,,,,,,,
HOYA,MP-TAFD405,Pref,1.951498,29.829567,Schott,3.65E+00,-1.57E-02,4.81E-02,2.65E-03,-1.40E-04,1.96E-05,,1.959043,29.612,,1.9760610,,1.9436744,,1.97412678,,1.942228404,,,,,,,,,,,,,,
HOYA,M-TAFD405,Pref,1.951498,29.829567,Schott,3.65E+00,-1.57E-02,4.81E-02,2.65E-03,-1.40E-04,1.96E-05,,1.959043,29.612,,1.9760610,,1.9436744,,1.97412678,,1.942228404,,,,,,,,,,,,,,
NHG,H-ZLAF75,Stan,1.95,29.365348,Schott,3.64E+00,-1.43E-02,5.20E-02,1.31E-03,9.97E-05,6.08E-06,,1.957642,29.142,,1.9749471,,1.9420858,,1.972975122,,1.940623509,,,,,,,,,,,,,,
HOYA,TAFD21,Obso,1.9326,27.921009,Schott,3.59E+00,-2.11E-02,4.27E-02,4.68E-03,-4.12E-04,3.91E-05,,1.940485,27.701,,1.9584155,,1.9244644,,1.956367149,,1.922965193,,,,,,,,,,,,,,
CDGM,H-ZF88,Pref,1.945958,17.943914,Schott,3.58E+00,-3.04E-02,4.82E-02,1.32E-02,-1.64E-03,1.62E-04,,1.958298,17.800,,1.9873172,,1.9334797,,1.983927777,,1.931209261,,,,,,,,,,,,,,
