Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
OHARA,S-YGH52,Spec,1.7865,50.001717,Schott,3.12E+00,-1.56E-02,2.38E-02,7.26E-04,-3.06E-05,2.09E-06,,1.790247,49.756,,1.7983887,,1.7825062,,1.797483567,,1.781753873,,,,,,,,,,,,,,
CDGM,ZF7,Stan,1.806277,25.380144,Schott,3.12E+00,-1.06E-02,4.22E-02,2.89E-03,-1.65E-04,2.33E-05,,1.813773,25.184,,1.8308871,,1.7985743,,1.828928074,,1.797159469,,,,,,,,,,,,,,
HIKARI,E-LASF014,Obso,1.788001,47.378774,Schott,3.12E+00,-1.48E-02,2.60E-02,5.08E-04,5.71E-06,8.82E-07,,1.791960,47.134,,1.8005936,,1.7837911,,1.799631362,,1.782999161,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF014,Obso,1.788001,47.378774,Schott,3.12E+00,-1.48E-02,2.60E-02,5.08E-04,5.71E-06,8.82E-07,,1.791960,47.134,,1.8005936,,1.7837911,,1.799631362,,1.782999161,,,,,,,,,,,,,,
NHG,H-ZLAF57,Stan,1.800006,29.832716,Schott,3.12E+00,-1.39E-02,3.73E-02,1.94E-03,-9.80E-05,1.65E-05,,1.806343,29.610,,1.8206658,,1.7934334,,1.819034505,,1.792217647,,,,,,,,,,,,,,
HOYA,FD6,Obso,1.805184,25.465194,Schott,3.12E+00,-1.19E-02,4.01E-02,3.50E-03,-2.58E-04,2.84E-05,,1.812646,25.268,,1.8296790,,1.7975179,,1.827729809,,1.796110234,,,,,,,,,,,,,,
LZOS,LZ_TF10,Stan,1.806276,25.353304,Schott,3.12E+00,-9.59E-03,4.17E-02,3.29E-03,-2.51E-04,2.92E-05,,1.813782,25.160,,1.8309046,,1.7985604,,1.828945902,,1.797143729,,,,,,,,,,,,,,
HOYA,TAF4,Spec,1.787997,47.493785,Schott,3.12E+00,-1.41E-02,2.65E-02,4.04E-04,1.43E-05,3.16E-07,,1.791948,47.258,,1.8005497,,1.7837918,,1.799592212,,1.783000369,,,,,,,,,,,,,,
NHG,H-LAF10L,Obso,1.787997,47.493785,Schott,3.12E+00,-1.41E-02,2.65E-02,4.04E-04,1.43E-05,3.16E-07,,1.791948,47.258,,1.8005497,,1.7837918,,1.799592212,,1.783000369,,,,,,,,,,,,,,
NHG,H-LAF10,Obso,1.787997,47.493785,Schott,3.12E+00,-1.41E-02,2.65E-02,4.04E-04,1.43E-05,3.16E-07,,1.791948,47.258,,1.8005497,,1.7837918,,1.799592212,,1.783000369,,,,,,,,,,,,,,
CORNING,D88-47,Stan,1.788001,47.412327,Schott,3.12E+00,-1.46E-02,2.72E-02,1.31E-04,6.11E-05,-2.26E-06,,1.791957,47.176,,1.8005765,,1.7837891,,1.799616153,,1.782995713,,,,,,,,,,,,,,
OHARA,PBH6W,Obso,1.805177,25.435012,Schott,3.12E+00,-1.13E-02,4.05E-02,3.39E-03,-2.42E-04,2.74E-05,,1.812647,25.238,,1.8297015,,1.7975022,,1.827749941,,1.796093134,Transmittance,,,,,,,,,,,,,
OHARA,PBH6,Obso,1.805177,25.435012,Schott,3.12E+00,-1.13E-02,4.05E-02,3.39E-03,-2.42E-04,2.74E-05,,1.812647,25.238,,1.8297015,,1.7975022,,1.827749941,,1.796093134,,,,,,,,,,,,,,
CDGM,H-LAF10LA,Pref,1.787998,47.516598,Schott,3.12E+00,-1.38E-02,2.72E-02,1.41E-04,5.42E-05,-1.61E-06,,1.791945,47.276,,1.8005477,,1.7837962,,1.799589165,,1.783005274,,,,,,,,,,,,,,
OHARA,TIH6,Obso,1.805181,25.432057,Schott,3.12E+00,-1.28E-02,4.24E-02,2.55E-03,-1.19E-04,2.34E-05,,1.812641,25.229,,1.8297233,,1.7975121,,1.827762756,,1.796102126,,,,,,,,,,,,,,
SUMITA,SF6W,Stan,1.80518,25.455541,Schott,3.12E+00,-1.10E-02,4.11E-02,3.24E-03,-2.27E-04,2.69E-05,,1.812645,25.260,,1.8296785,,1.7975074,,1.827729564,,1.796098162,,,,,,,,,,,,,,
SUMITA,SF6,Stan,1.80518,25.455541,Schott,3.12E+00,-1.10E-02,4.11E-02,3.24E-03,-2.27E-04,2.69E-05,,1.812645,25.260,,1.8296785,,1.7975074,,1.827729564,,1.796098162,,,,,,,,,,,,,,
CDGM,H-ZF7LAGT,Pref,1.805189,25.47729,Schott,3.12E+00,-1.21E-02,4.28E-02,2.50E-03,-1.17E-04,2.28E-05,,1.812639,25.277,,1.8296760,,1.7975269,,1.827722527,,1.796117766,,,,,,,,,,,,,,
CDGM,H-ZF7LA,Pref,1.805189,25.47729,Schott,3.12E+00,-1.21E-02,4.28E-02,2.50E-03,-1.17E-04,2.28E-05,,1.812639,25.277,,1.8296760,,1.7975269,,1.827722527,,1.796117766,,,,,,,,,,,,,,
HOYA,FD225,Pref,1.808089,22.764341,Schott,3.12E+00,-1.58E-02,4.44E-02,3.58E-03,-2.39E-04,3.88E-05,,1.816431,22.578,,1.8357165,,1.7995552,,1.833489033,,1.797990383,,,,,,,,,,,,,,
NHG,H-ZF7L,Stan,1.805179,25.448202,Schott,3.12E+00,-1.24E-02,4.33E-02,2.26E-03,-7.69E-05,2.11E-05,,1.812634,25.246,,1.8297019,,1.7975127,,1.827743008,,1.79610252,,,,,,,,,,,,,,
SUMITA,SFLD60,Stan,1.806442,24.394084,Schott,3.12E+00,-1.22E-02,4.34E-02,3.04E-03,-1.76E-04,2.62E-05,,1.814236,24.208,,1.8320727,,1.7984380,,1.830027338,,1.796967817,,,,,,,,,,,,,,
CORNING,E05-25,Stan,1.805093,25.506125,Schott,3.12E+00,-1.05E-02,4.20E-02,2.95E-03,-1.97E-04,2.63E-05,,1.812541,25.311,,1.8295352,,1.7974328,,1.827590275,,1.796025005,,,,,,,,,,,,,,
HIKARI,E-SF6,Obso,1.805181,25.430397,Schott,3.12E+00,-1.19E-02,4.44E-02,1.81E-03,4.70E-06,1.62E-05,,1.812638,25.224,,1.8297322,,1.7975159,,1.827768905,,1.796106188,,,,,,,,,,,,,,
NIKON-HIKARI,E-SF6,Obso,1.805181,25.430397,Schott,3.12E+00,-1.19E-02,4.44E-02,1.81E-03,4.70E-06,1.62E-05,,1.812638,25.224,,1.8297322,,1.7975159,,1.827768905,,1.796106188,,,,,,,,,,,,,,
SUMITA,K-SFLD6,Stan,1.805189,25.404945,Schott,3.12E+00,-1.21E-02,4.47E-02,1.66E-03,4.20E-05,1.29E-05,,1.812654,25.201,,1.8297617,,1.7975145,,1.827797576,,1.796102828,,,,,,,,,,,,,,
CDGM,ZF7LGT,Stan,1.80519,25.471232,Schott,3.12E+00,-9.78E-03,4.32E-02,2.52E-03,-1.17E-04,2.08E-05,,1.812648,25.276,,1.8296719,,1.7975203,,1.827723362,,1.796111076,,,,,,,,,,,,,,
CDGM,ZF7L,Stan,1.80519,25.471232,Schott,3.12E+00,-9.78E-03,4.32E-02,2.52E-03,-1.17E-04,2.08E-05,,1.812648,25.276,,1.8296719,,1.7975203,,1.827723362,,1.796111076,,,,,,,,,,,,,,
HOYA,FD60-W,Pref,1.805181,25.45643,Schott,3.12E+00,-1.16E-02,4.49E-02,1.66E-03,2.57E-05,1.48E-05,,1.812632,25.252,,1.8296993,,1.7975189,,1.827739697,,1.79610937,,,,,,,,,,,,,,
HOYA,FD60,Stan,1.805181,25.45643,Schott,3.12E+00,-1.16E-02,4.49E-02,1.66E-03,2.57E-05,1.48E-05,,1.812632,25.252,,1.8296993,,1.7975189,,1.827739697,,1.79610937,,,,,,,,,,,,,,
NHG,ZF7L,Stan,1.805187,25.457996,Schott,3.12E+00,-9.59E-03,4.35E-02,2.45E-03,-1.15E-04,2.13E-05,,1.812649,25.263,,1.8296814,,1.7975133,,1.82773156,,1.796102921,,,,,,,,,,,,,,
HOYA,NBFD1,Obso,1.789004,42.757634,Schott,3.12E+00,-1.32E-02,2.86E-02,6.82E-04,-7.25E-06,2.74E-06,,1.793391,42.511,,1.8030288,,1.7843658,,1.801950403,,1.783497173,,,,,,,,,,,,,,
NHG,H-LAF52,Stan,1.785894,44.152788,Schott,3.11E+00,-1.43E-02,2.59E-02,1.17E-03,-7.48E-05,5.54E-06,,1.790128,43.895,,1.7994194,,1.7814191,,1.798380883,,1.780581178,,,,,,,,,,,,,,
OHARA,LAH51,Obso,1.785896,44.186159,Schott,3.11E+00,-1.45E-02,2.65E-02,9.19E-04,-3.40E-05,3.33E-06,,1.790125,43.927,,1.7994116,,1.7814244,,1.798372952,,1.780586643,,,,,,,,,,,,,,
CDGM,H-LAF52,Stan,1.785901,44.206711,Schott,3.11E+00,-1.36E-02,2.79E-02,4.60E-04,3.21E-05,-2.81E-07,,1.790128,43.952,,1.7994046,,1.7814274,,1.798366944,,1.780588805,,,,,,,,,,,,,,
HIKARI,E-LASF01,Obso,1.7859,44.174088,Schott,3.11E+00,-1.30E-02,3.00E-02,-2.79E-04,1.48E-04,-6.92E-06,,1.790128,43.924,,1.7994082,,1.7814197,,1.798369764,,1.780578508,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF01,Obso,1.7859,44.174088,Schott,3.11E+00,-1.30E-02,3.00E-02,-2.79E-04,1.48E-04,-6.92E-06,,1.790128,43.924,,1.7994082,,1.7814197,,1.798369764,,1.780578508,,,,,,,,,,,,,,
HIKARI,LASF01,Obso,1.7859,44.174079,Schott,3.11E+00,-1.30E-02,3.00E-02,-2.79E-04,1.48E-04,-6.92E-06,,1.790128,43.924,,1.7994082,,1.7814196,,1.798369696,,1.780578438,,,,,,,,,,,,,,
NIKON-HIKARI,LASF01,Obso,1.7859,44.174079,Schott,3.11E+00,-1.30E-02,3.00E-02,-2.79E-04,1.48E-04,-6.92E-06,,1.790128,43.924,,1.7994082,,1.7814196,,1.798369696,,1.780578438,,,,,,,,,,,,,,
SUMITA,K-LASFN4,Stan,1.784991,43.65432,Schott,3.10E+00,-1.33E-02,2.75E-02,7.55E-04,-1.66E-05,2.78E-06,,1.789267,43.400,,1.7986557,,1.7804700,,1.797605567,,1.779623307,,,,,,,,,,,,,,
SUMITA,LASFN4,Stan,1.784999,43.676545,Schott,3.10E+00,-1.15E-02,2.91E-02,3.20E-04,3.59E-05,5.08E-07,,1.789273,43.424,,1.7986541,,1.7804783,,1.797604682,,1.779631385,,,,,,,,,,,,,,
HOYA,NBFD11,Stan,1.785897,43.934383,Schott,3.10E+00,-1.00E-02,3.26E-02,-8.10E-04,1.94E-04,-8.03E-06,,1.790151,43.702,,1.7994617,,1.7813811,,1.798420967,,1.780532717,,,,,,,,,,,,,,
HIKARI,E-LAF9,Obso,1.79504,28.542951,Schott,3.10E+00,-1.37E-02,3.78E-02,2.08E-03,-9.16E-05,1.80E-05,,1.801612,28.314,,1.8165635,,1.7882517,,1.814853809,,1.786999151,,,,,,,,,,,,,,
NIKON-HIKARI,E-LAF9,Obso,1.79504,28.542951,Schott,3.10E+00,-1.37E-02,3.78E-02,2.08E-03,-9.16E-05,1.80E-05,,1.801612,28.314,,1.8165635,,1.7882517,,1.814853809,,1.786999151,,,,,,,,,,,,,,
SUMITA,SFLD66,Stan,1.799247,24.624181,Schott,3.10E+00,-1.37E-02,4.15E-02,3.18E-03,-2.10E-04,3.01E-05,,1.806893,24.429,,1.8244272,,1.7913969,,1.822413084,,1.789954682,,,,,,,,,,,,,,
HIKARI,LAF9,Obso,1.79504,28.565137,Schott,3.10E+00,-1.11E-02,3.88E-02,1.95E-03,-6.84E-05,1.33E-05,,1.801618,28.350,,1.8165143,,1.7882389,,1.814817358,,1.786984339,,,,,,,,,,,,,,
NIKON-HIKARI,LAF9,Obso,1.79504,28.565137,Schott,3.10E+00,-1.11E-02,3.88E-02,1.95E-03,-6.84E-05,1.33E-05,,1.801618,28.350,,1.8165143,,1.7882389,,1.814817358,,1.786984339,,,,,,,,,,,,,,
SUMITA,K-SFLD66,Stan,1.79925,24.627112,Schott,3.10E+00,-1.23E-02,4.37E-02,2.45E-03,-9.92E-05,2.37E-05,,1.806894,24.432,,1.8244252,,1.7913991,,1.822410871,,1.789956223,,,,,,,,,,,,,,
HOYA,NBFD7,Obso,1.782999,36.06621,Schott,3.09E+00,-1.74E-02,2.71E-02,2.44E-03,-2.06E-04,1.67E-05,,1.788142,35.804,,1.7996406,,1.7776281,,1.798340388,,1.776629981,,,,,,,,,,,,,,
NHG,H-LAK77,Stan,1.775355,50.326099,Schott,3.08E+00,-1.44E-02,2.51E-02,1.09E-04,5.46E-05,-2.38E-06,,1.779025,50.087,,1.7869909,,1.7714375,,1.78610518,,1.770698322,,,,,,,,,,,,,,
HIKARI,SF6,Obso,1.805182,25.443058,Schott,3.08E+00,1.53E-02,6.35E-02,-2.96E-03,6.03E-04,-1.59E-05,,1.812651,25.248,,1.8296857,,1.7974986,,1.827735534,,1.79608854,,,,,,,,,,,,,,
NIKON-HIKARI,SF6,Obso,1.805182,25.443058,Schott,3.08E+00,1.53E-02,6.35E-02,-2.96E-03,6.03E-04,-1.59E-05,,1.812651,25.248,,1.8296857,,1.7974986,,1.827735534,,1.79608854,,,,,,,,,,,,,,
HOYA,FD11,Obso,1.784715,25.704276,Schott,3.08E+00,-2.35E-02,1.95E-02,9.65E-03,-1.24E-03,8.78E-05,,1.791926,25.495,,1.8083948,,1.7773325,,1.80651061,,1.775981469,,,,,,,,,,,,,,
CDGM,H-LAF7,Stan,1.781796,37.094648,Schott,3.08E+00,-1.21E-02,3.13E-02,9.86E-04,-1.34E-05,5.50E-06,,1.786793,36.837,,1.7979238,,1.7765651,,1.796667751,,1.775591683,,,,,,,,,,,,,,
NHG,H-LAF7,Stan,1.781796,37.094648,Schott,3.08E+00,-1.21E-02,3.13E-02,9.86E-04,-1.34E-05,5.50E-06,,1.786793,36.837,,1.7979238,,1.7765651,,1.796667751,,1.775591683,,,,,,,,,,,,,,
SUMITA,LASKN3,Stan,1.773998,50.492838,Schott,3.08E+00,-1.49E-02,2.34E-02,6.65E-04,-3.53E-05,2.63E-06,,1.777651,50.258,,1.7855712,,1.7700981,,1.784691866,,1.769362767,,,,,,,,,,,,,,
CDGM,D-LAF50,Stan,1.774002,49.604291,Schott,3.07E+00,-1.16E-02,2.54E-02,2.21E-04,3.70E-05,-1.22E-06,,1.777718,49.337,,1.7858162,,1.7700528,,1.784914388,,1.769310614,,,,,,,,,,,,,,
NHG,H-LAF50,Stan,1.772494,49.578677,Schott,3.07E+00,-1.51E-02,2.31E-02,8.39E-04,-5.02E-05,3.23E-06,,1.776206,49.333,,1.7842747,,1.7685406,,1.783377665,,1.767796247,,,,,,,,,,,,,,
HOYA,TAF1,Pref,1.7725,49.624284,Schott,3.07E+00,-1.55E-02,2.36E-02,6.63E-04,-2.84E-05,2.21E-06,,1.776209,49.391,,1.7842583,,1.7685428,,1.783363921,,1.767796706,,,,,,,,,,,,,,
NHG,H-LAF50A,Obso,1.772499,49.60134,Schott,3.07E+00,-1.50E-02,2.39E-02,5.57E-04,-1.01E-05,1.19E-06,,1.776209,49.361,,1.7842687,,1.7685436,,1.783372516,,1.767798118,,,,,,,,,,,,,,
OHARA,LAH66,Obso,1.772499,49.60134,Schott,3.07E+00,-1.50E-02,2.39E-02,5.57E-04,-1.01E-05,1.19E-06,,1.776209,49.361,,1.7842687,,1.7685436,,1.783372516,,1.767798118,,,,,,,,,,,,,,
SUMITA,K-LASFN7,Stan,1.772493,49.58956,Schott,3.07E+00,-1.48E-02,2.41E-02,5.00E-04,1.29E-06,5.23E-07,,1.776203,49.343,,1.7842701,,1.7685395,,1.783372616,,1.767794644,,,,,,,,,,,,,,
NHG,D-LAF774,Obso,,,Schott,3.07E+00,-1.37E-02,2.53E-02,6.12E-04,-1.15E-05,1.54E-06,,1.777672,46.919,,1.7861924,,1.7696176,,1.785243124,,1.768838049,,,,,,,,,,,,,,
HOYA,MP-TAF401,Pref,1.773766,47.167015,Schott,3.07E+00,-1.37E-02,2.53E-02,6.12E-04,-1.15E-05,1.54E-06,,1.777672,46.919,,1.7861924,,1.7696176,,1.785243095,,1.768838019,,,,,,,,,,,,,,
HOYA,MC-TAF401,Pref,1.773766,47.167015,Schott,3.07E+00,-1.37E-02,2.53E-02,6.12E-04,-1.15E-05,1.54E-06,,1.777672,46.919,,1.7861924,,1.7696176,,1.785243095,,1.768838019,,,,,,,,,,,,,,
HOYA,M-TAF401,Pref,1.773766,47.167015,Schott,3.07E+00,-1.37E-02,2.53E-02,6.12E-04,-1.15E-05,1.54E-06,,1.777672,46.919,,1.7861924,,1.7696176,,1.785243095,,1.768838019,,,,,,,,,,,,,,
HIKARI,E-LASF016,Obso,1.772499,49.60759,Schott,3.07E+00,-1.47E-02,2.44E-02,3.98E-04,1.23E-05,1.24E-07,,1.776208,49.366,,1.7842678,,1.7685443,,1.783371243,,1.767798808,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF016,Obso,1.772499,49.60759,Schott,3.07E+00,-1.47E-02,2.44E-02,3.98E-04,1.23E-05,1.24E-07,,1.776208,49.366,,1.7842678,,1.7685443,,1.783371243,,1.767798808,,,,,,,,,,,,,,
HIKARI,SFS3,Obso,1.7847,26.207574,Schott,3.07E+00,-2.17E-02,2.94E-02,5.50E-03,-5.38E-04,4.13E-05,,1.791767,26.003,,1.8078819,,1.7774332,,1.806039575,,1.776097319,,,,,,,,,,,,,,
NIKON-HIKARI,SFS3,Obso,1.7847,26.207574,Schott,3.07E+00,-2.17E-02,2.94E-02,5.50E-03,-5.38E-04,4.13E-05,,1.791767,26.003,,1.8078819,,1.7774332,,1.806039575,,1.776097319,,,,,,,,,,,,,,
HOYA,MC-TAF1,Spec,1.772502,49.464621,Schott,3.07E+00,-1.23E-02,2.46E-02,4.74E-04,5.43E-07,6.60E-07,,1.776222,49.201,,1.7843260,,1.7685493,,1.783423956,,1.76780644,,,,,,,,,,,,,,
HOYA,M-TAF1,Spec,1.772502,49.464621,Schott,3.07E+00,-1.23E-02,2.46E-02,4.74E-04,5.43E-07,6.60E-07,,1.776222,49.201,,1.7843260,,1.7685493,,1.783423956,,1.76780644,,,,,,,,,,,,,,
HOYA,MP-TAF105,Pref,1.772502,49.502924,Schott,3.07E+00,-1.33E-02,2.53E-02,2.18E-04,3.26E-05,-8.13E-07,,1.776219,49.262,,1.7842959,,1.7685388,,1.783397592,,1.767792179,,,,,,,,,,,,,,
HOYA,MC-TAF105,Pref,1.772502,49.502924,Schott,3.07E+00,-1.33E-02,2.53E-02,2.18E-04,3.26E-05,-8.13E-07,,1.776219,49.262,,1.7842959,,1.7685388,,1.783397592,,1.767792179,,,,,,,,,,,,,,
HOYA,M-TAF105,Pref,1.772502,49.502924,Schott,3.07E+00,-1.33E-02,2.53E-02,2.18E-04,3.26E-05,-8.13E-07,,1.776219,49.262,,1.7842959,,1.7685388,,1.783397592,,1.767792179,,,,,,,,,,,,,,
CDGM,H-LAF50B,Stan,1.772501,49.613485,Schott,3.07E+00,-1.36E-02,2.58E-02,-1.66E-05,6.95E-05,-2.88E-06,,1.776209,49.376,,1.7842644,,1.7685442,,1.783368457,,1.767797827,,,,,,,,,,,,,,
SUMITA,K-LAFK50,Stan,1.771996,49.982884,Schott,3.07E+00,-1.20E-02,2.40E-02,5.62E-04,-1.05E-05,1.17E-06,,1.775675,49.706,,1.7836958,,1.7680906,,1.782802644,,1.767357188,,,,,,,,,,,,,,
SUMITA,LASFN7,Stan,1.772501,49.612655,Schott,3.07E+00,-1.26E-02,2.71E-02,-4.02E-04,1.23E-04,-5.49E-06,,1.776208,49.375,,1.7842640,,1.7685433,,1.783367458,,1.767796576,,,,,,,,,,,,,,
HOYA,FDS30,Obso,1.784701,26.102957,Schott,3.06E+00,-1.49E-02,3.40E-02,4.36E-03,-4.14E-04,3.94E-05,,1.791788,25.883,,1.8080212,,1.7774306,,1.80615859,,1.776096276,,,,,,,,,,,,,,
CDGM,ZF51,Obso,1.784701,26.075871,Schott,3.06E+00,-1.39E-02,3.30E-02,5.07E-03,-5.39E-04,4.36E-05,,1.791811,25.878,,1.8079889,,1.7773906,,1.806141994,,1.776048461,,,,,,,,,,,,,,
CDGM,ZF13,Stan,1.784724,25.754051,Schott,3.06E+00,-1.46E-02,3.28E-02,5.24E-03,-5.61E-04,4.64E-05,,1.791918,25.553,,1.8083259,,1.7773347,,1.806449405,,1.775978954,,,,,,,,,,,,,,
SUMITA,SFLD11,Stan,1.784731,25.899428,Schott,3.06E+00,-1.52E-02,3.64E-02,3.69E-03,-3.18E-04,3.43E-05,,1.791873,25.691,,1.8082093,,1.7773866,,1.806335939,,1.776036243,,,,,,,,,,,,,,
HOYA,MP-TAF101-100,Pref,1.769015,49.290038,Schott,3.06E+00,-1.36E-02,2.46E-02,4.18E-04,2.54E-06,8.00E-07,,1.772732,49.051,,1.7808075,,1.7650538,,1.779909714,,1.764307632,,,,,,,,,,,,,,
HOYA,MC-TAF101-100,Pref,1.769015,49.290038,Schott,3.06E+00,-1.36E-02,2.46E-02,4.18E-04,2.54E-06,8.00E-07,,1.772732,49.051,,1.7808075,,1.7650538,,1.779909714,,1.764307632,,,,,,,,,,,,,,
CDGM,D-LAF050,Stan,1.768419,49.290155,Schott,3.06E+00,-1.47E-02,2.36E-02,6.71E-04,-2.76E-05,2.13E-06,,1.772133,49.049,,1.7802047,,1.7644625,,1.779307191,,1.76371724,,,,,,,,,,,,,,
OHARA,TIH23,Obso,1.784696,26.29817,Schott,3.06E+00,-1.33E-02,3.82E-02,2.87E-03,-1.94E-04,2.63E-05,,1.791731,26.086,,1.8078088,,1.7774582,,1.805965655,,1.77612669,,,,,,,,,,,,,,
CORNING,D85-25,Stan,1.784752,25.799504,Schott,3.06E+00,-1.28E-02,3.67E-02,3.90E-03,-3.72E-04,3.86E-05,,1.791925,25.591,,1.8083285,,1.7773832,,1.80644751,,1.776029619,,,,,,,,,,,,,,
HIKARI,E-SFS3,Obso,1.784696,26.295354,Schott,3.06E+00,-1.32E-02,3.91E-02,2.51E-03,-1.32E-04,2.25E-05,,1.791730,26.083,,1.8078133,,1.7774585,,1.805968877,,1.776126723,,,,,,,,,,,,,,
NIKON-HIKARI,E-SFS3,Obso,1.784696,26.295354,Schott,3.06E+00,-1.32E-02,3.91E-02,2.51E-03,-1.32E-04,2.25E-05,,1.791730,26.083,,1.8078133,,1.7774585,,1.805968877,,1.776126723,,,,,,,,,,,,,,
SUMITA,K-LAFK50(M),Stan,1.768306,49.64662,Schott,3.06E+00,-1.20E-02,2.42E-02,4.82E-04,2.21E-06,4.30E-07,,1.771992,49.374,,1.7800280,,1.7643925,,1.779133152,,1.763657407,,,,,,,,,,,,,,
HIKARI,E-SF11,Obso,1.784723,25.679481,Schott,3.06E+00,-1.43E-02,3.82E-02,3.16E-03,-2.24E-04,2.90E-05,,1.791923,25.470,,1.8084158,,1.7773239,,1.806522611,,1.775963696,,,,,,,,,,,,,,
NIKON-HIKARI,E-SF11,Obso,1.784723,25.679481,Schott,3.06E+00,-1.43E-02,3.82E-02,3.16E-03,-2.24E-04,2.90E-05,,1.791923,25.470,,1.8084158,,1.7773239,,1.806522611,,1.775963696,,,,,,,,,,,,,,
NHG,D-LAF768,Obso,1.768015,49.241432,Schott,3.06E+00,-1.38E-02,2.43E-02,4.98E-04,-7.32E-06,1.24E-06,,1.771731,49.001,,1.7798050,,1.7640559,,1.778907318,,1.763310143,,,,,,,,,,,,,,
HOYA,M-TAF101,Pref,1.768015,49.241428,Schott,3.06E+00,-1.38E-02,2.43E-02,4.98E-04,-7.32E-06,1.24E-06,,1.771731,49.001,,1.7798050,,1.7640558,,1.77890729,,1.763310114,,,,,,,,,,,,,,
OHARA,PBH23W,Obso,1.784702,26.216753,Schott,3.06E+00,-1.09E-02,3.85E-02,3.02E-03,-2.13E-04,2.49E-05,,1.791767,26.013,,1.8078701,,1.7774328,,1.806028784,,1.776096953,Transmittance,,,,,,,,,,,,,
OHARA,PBH23,Obso,1.784702,26.216753,Schott,3.06E+00,-1.09E-02,3.85E-02,3.02E-03,-2.13E-04,2.49E-05,,1.791767,26.013,,1.8078701,,1.7774328,,1.806028784,,1.776096953,,,,,,,,,,,,,,
OHARA,TIH11,Obso,1.784723,25.677885,Schott,3.05E+00,-1.33E-02,3.93E-02,2.82E-03,-1.77E-04,2.65E-05,,1.791923,25.469,,1.8084150,,1.7773219,,1.806521891,,1.775961081,,,,,,,,,,,,,,
RPO,TAF1_MOLD,Stan,1.767,49.270913,Schott,3.05E+00,-1.55E-02,2.36E-02,6.61E-04,-2.83E-05,2.20E-06,,1.770709,49.041,,1.7787584,,1.7630429,,1.77786399,,1.762296756,,,,,,,,,,,,,,
CORNING,D85-26,Stan,1.784994,25.902085,Schott,3.05E+00,-1.08E-02,3.96E-02,2.92E-03,-2.14E-04,2.68E-05,,1.792146,25.704,,1.8084502,,1.7776319,,1.806584883,,1.776278139,,,,,,,,,,,,,,
HOYA,FD110,Stan,1.784719,25.720804,Schott,3.05E+00,-1.28E-02,4.06E-02,2.27E-03,-7.81E-05,1.99E-05,,1.791906,25.511,,1.8083730,,1.7773314,,1.806482497,,1.775972831,,,,,,,,,,,,,,
SUMITA,K-SFLD11,Stan,1.784735,25.911688,Schott,3.05E+00,-1.23E-02,4.15E-02,1.90E-03,-3.17E-05,1.73E-05,,1.791870,25.702,,1.8082029,,1.7773938,,1.806328253,,1.776042739,,,,,,,,,,,,,,
OHARA,PBH11W,Obso,1.784718,25.712726,Schott,3.05E+00,-1.07E-02,4.00E-02,2.74E-03,-1.68E-04,2.45E-05,,1.791915,25.508,,1.8083677,,1.7773218,,1.806482093,,1.775962889,Transmittance,,,,,,,,,,,,,
OHARA,PBH11,Obso,1.784718,25.712726,Schott,3.05E+00,-1.07E-02,4.00E-02,2.74E-03,-1.68E-04,2.45E-05,,1.791915,25.508,,1.8083677,,1.7773218,,1.806482093,,1.775962889,,,,,,,,,,,,,,
NHG,H-ZF13,Stan,1.78472,25.72922,Schott,3.05E+00,-1.22E-02,4.17E-02,1.80E-03,1.92E-05,1.23E-05,,1.791905,25.520,,1.8083669,,1.7773358,,1.806477688,,1.775977977,,,,,,,,,,,,,,
CDGM,H-ZF13GT,Stan,1.784721,25.719658,Schott,3.05E+00,-1.23E-02,4.22E-02,1.82E-03,-2.88E-05,1.89E-05,,1.791907,25.511,,1.8083696,,1.7773282,,1.806478345,,1.775967232,,,,,,,,,,,,,,
CDGM,H-ZF13,Stan,1.784721,25.719658,Schott,3.05E+00,-1.23E-02,4.22E-02,1.82E-03,-2.88E-05,1.89E-05,,1.791907,25.511,,1.8083696,,1.7773282,,1.806478345,,1.775967232,,,,,,,,,,,,,,
SUMITA,SFS3,Stan,1.784698,26.21778,Schott,3.05E+00,-9.06E-03,4.18E-02,1.87E-03,-3.31E-05,1.47E-05,,1.791759,26.012,,1.8078688,,1.7774309,,1.806025066,,1.776094546,,,,,,,,,,,,,,
SUMITA,SF11W,Stan,1.784719,25.711976,Schott,3.05E+00,-9.72E-03,4.10E-02,2.47E-03,-1.38E-04,2.42E-05,,1.791913,25.504,,1.8083792,,1.7773280,,1.806490281,,1.775970124,,,,,,,,,,,,,,
SUMITA,SF11,Stan,1.784719,25.711976,Schott,3.05E+00,-9.72E-03,4.10E-02,2.47E-03,-1.38E-04,2.42E-05,,1.791913,25.504,,1.8083792,,1.7773280,,1.806490281,,1.775970124,,,,,,,,,,,,,,
SUMITA,K-LAFK50T,Stan,1.765999,49.798212,Schott,3.05E+00,-1.26E-02,2.38E-02,4.76E-04,1.37E-05,-8.95E-07,,1.769662,49.525,,1.7776499,,1.7621090,,1.776760481,,1.761378186,,,,,,,,,,,,,,
