MONTH,STATE,GENERATION (Megawatthours)
1,AK,1550887.0
1,AL,37311211.0
1,AR,15658024.0
1,AZ,26068941.0
1,CA,40504436.0
1,CO,14546791.0
1,CT,10958592.0
1,DC,55530.0
1,DE,340193.0
1,FL,54319950.0
1,GA,31258796.0
1,HI,2271914.0
1,IA,16555472.0
1,ID,4790720.0
1,IL,48230875.0
1,IN,26866353.0
1,KS,14127168.0
1,KY,19167748.0
1,LA,23617535.0
1,MA,6090998.0
1,MD,9764850.0
1,ME,2861480.0
1,MI,31480698.0
1,MN,14663022.0
1,MO,20547804.0
1,MS,20524553.0
1,MT,7689476.0
1,NC,35391947.0
1,ND,11588370.0
1,NE,9437436.0
1,NH,4510512.0
1,NJ,13785231.0
1,NM,9414421.0
1,NV,9115411.0
1,NY,32586375.0
1,OH,32911660.0
1,OK,21010552.0
1,OR,17647542.0
1,PA,67161973.0
1,RI,1738114.0
1,SC,26975017.0
1,SD,4501699.0
1,TN,21784728.0
1,TX,115791434.0
1,US-TOTAL,1052387440.0
1,UT,9504327.0
1,VA,24264977.0
1,VT,512045.0
1,WA,32555673.0
1,WI,17626208.0
1,WV,19206072.0
1,WY,11541697.0
2,AK,1452118.0
2,AL,33617192.0
2,AR,13448395.0
2,AZ,20756728.0
2,CA,36908625.0
2,CO,13706330.0
2,CT,10521444.0
2,DC,50411.0
2,DE,668800.0
2,FL,51860748.0
2,GA,29856387.0
2,HI,1969376.0
2,IA,15304671.0
2,ID,4388011.0
2,IL,44844450.0
2,IN,29069056.0
2,KS,12815705.0
2,KY,19267948.0
2,LA,22197957.0
2,MA,5467539.0
2,MD,10134463.0
2,ME,2757483.0
2,MI,30449994.0
2,MN,15820805.0
2,MO,19845117.0
2,MS,16833629.0
2,MT,6202168.0
2,NC,32303003.0
2,ND,10668012.0
2,NE,8998108.0
2,NH,4633549.0
2,NJ,13635602.0
2,NM,7168710.0
2,NV,8154568.0
2,NY,28912219.0
2,OH,30810728.0
2,OK,18157827.0
2,OR,16521582.0
2,PA,63164713.0
2,RI,1516012.0
2,SC,25070396.0
2,SD,4218559.0
2,TN,21787954.0
2,TX,103661339.0
2,US-TOTAL,978670167.0
2,UT,9769880.0
2,VA,23451418.0
2,VT,490642.0
2,WA,28196935.0
2,WI,16817135.0
2,WV,19970914.0
2,WY,10374816.0
3,AK,1367797.0
3,AL,31382361.0
3,AR,13685082.0
3,AZ,23945400.0
3,CA,42858266.0
3,CO,14008535.0
3,CT,11216828.0
3,DC,54871.0
3,DE,678276.0
3,FL,55151731.0
3,GA,25909405.0
3,HI,2209457.0
3,IA,16167306.0
3,ID,4212102.0
3,IL,40148296.0
3,IN,20828998.0
3,KS,14897128.0
3,KY,15393727.0
3,LA,20153048.0
3,MA,4049990.0
3,MD,8417945.0
3,ME,2928319.0
3,MI,28516127.0
3,MN,13326711.0
3,MO,16155630.0
3,MS,13752941.0
3,MT,6461490.0
3,NC,28985380.0
3,ND,11098053.0
3,NE,7744747.0
3,NH,4102928.0
3,NJ,13541499.0
3,NM,8001069.0
3,NV,9138641.0
3,NY,29932395.0
3,OH,30266182.0
3,OK,19054129.0
3,OR,16148562.0
3,PA,57935291.0
3,RI,1804959.0
3,SC,23373597.0
3,SD,4484409.0
3,TN,20670737.0
3,TX,101818528.0
3,US-TOTAL,936853866.0
3,UT,9421236.0
3,VA,23777943.0
3,VT,684583.0
3,WA,26386980.0
3,WI,16153490.0
3,WV,13601424.0
3,WY,10849340.0
4,AK,1254375.0
4,AL,27212371.0
4,AR,11378800.0
4,AZ,24134065.0
4,CA,44309904.0
4,CO,12837897.0
4,CT,9643972.0
4,DC,39103.0
4,DE,603203.0
4,FL,55677722.0
4,GA,28473258.0
4,HI,2123207.0
4,IA,15558038.0
4,ID,3415760.0
4,IL,39641897.0
4,IN,18781736.0
4,KS,11933751.0
4,KY,15083681.0
4,LA,20920232.0
4,MA,3201724.0
4,MD,9097622.0
4,ME,2369322.0
4,MI,24016594.0
4,MN,12025083.0
4,MO,15021958.0
4,MS,15750938.0
4,MT,4356322.0
4,NC,27253003.0
4,ND,9649358.0
4,NE,7947412.0
4,NH,4009773.0
4,NJ,13064217.0
4,NM,7057115.0
4,NV,9581938.0
4,NY,26718400.0
4,OH,24446180.0
4,OK,17794894.0
4,OR,14065190.0
4,PA,48912712.0
4,RI,984873.0
4,SC,21978087.0
4,SD,4383967.0
4,TN,17471315.0
4,TX,104846197.0
4,US-TOTAL,877510618.0
4,UT,8073862.0
4,VA,20575588.0
4,VT,530204.0
4,WA,22858010.0
4,WI,14619025.0
4,WV,12398415.0
4,WY,9428344.0
5,AK,1235933.0
5,AL,33709450.0
5,AR,11998519.0
5,AZ,26555503.0
5,CA,48918001.0
5,CO,12643746.0
5,CT,10444422.0
5,DC,57159.0
5,DE,783574.0
5,FL,65109983.0
5,GA,31190253.0
5,HI,2304124.0
5,IA,15121419.0
5,ID,4348365.0
5,IL,44839842.0
5,IN,20864486.0
5,KS,13076058.0
5,KY,17018692.0
5,LA,23346064.0
5,MA,3491087.0
5,MD,8920953.0
5,ME,2509200.0
5,MI,23040588.0
5,MN,11420279.0
5,MO,16079559.0
5,MS,16343387.0
5,MT,5176974.0
5,NC,29636607.0
5,ND,9276890.0
5,NE,8599762.0
5,NH,4423055.0
5,NJ,12965050.0
5,NM,8066195.0
5,NV,9870301.0
5,NY,28598059.0
5,OH,25515822.0
5,OK,18026530.0
5,OR,12843490.0
5,PA,54451115.0
5,RI,1529434.0
5,SC,25468438.0
5,SD,4420278.0
5,TN,19267334.0
5,TX,118266185.0
5,US-TOTAL,956575536.0
5,UT,9740467.0
5,VA,18480684.0
5,VT,535429.0
5,WA,25088691.0
5,WI,15311932.0
5,WV,15954352.0
5,WY,9691821.0
6,AK,1593962.0
6,AL,36509686.0
6,AR,17292586.0
6,AZ,31991245.0
6,CA,55389000.0
6,CO,15102748.0
6,CT,11178194.0
6,DC,63465.0
6,DE,1408062.0
6,FL,67900818.0
6,GA,36500060.0
6,HI,2332634.0
6,IA,17196078.0
6,ID,4811123.0
6,IL,47575447.0
6,IN,26139292.0
6,KS,14821627.0
6,KY,19882418.0
6,LA,26338574.0
6,MA,6094363.0
6,MD,9894110.0
6,ME,2661600.0
6,MI,30081059.0
6,MN,15698099.0
6,MO,20327076.0
6,MS,18732808.0
6,MT,5730671.0
6,NC,35248692.0
6,ND,9497947.0
6,NE,10631107.0
6,NH,4932389.0
6,NJ,16737668.0
6,NM,10043843.0
6,NV,12872168.0
6,NY,33634792.0
6,OH,30232971.0
6,OK,21009884.0
6,OR,14860810.0
6,PA,64388712.0
6,RI,2231234.0
6,SC,27031214.0
6,SD,4724059.0
6,TN,23092263.0
6,TX,138455205.0
6,US-TOTAL,1121263216.0
6,UT,12333141.0
6,VA,25975104.0
6,VT,537064.0
6,WA,29523429.0
6,WI,18462315.0
6,WV,20597388.0
6,WY,10963017.0
7,AK,1680723.0
7,AL,40923916.0
7,AR,19421112.0
7,AZ,35140649.0
7,CA,65710381.0
7,CO,16787793.0
7,CT,12160929.0
7,DC,66009.0
7,DE,1705981.0
7,FL,73516388.0
7,GA,37793424.0
7,HI,2430541.0
7,IA,17163477.0
7,ID,4364300.0
7,IL,50290943.0
7,IN,28627501.0
7,KS,16134801.0
7,KY,21466347.0
7,LA,30058022.0
7,MA,6043800.0
7,MD,11686862.0
7,ME,2503702.0
7,MI,31214212.0
7,MN,17759304.0
7,MO,21736689.0
7,MS,20513045.0
7,MT,6249269.0
7,NC,39558684.0
7,ND,11208133.0
7,NE,11662512.0
7,NH,5159964.0
7,NJ,18897825.0
7,NM,9157055.0
7,NV,14038511.0
7,NY,35790778.0
7,OH,35552814.0
7,OK,22941648.0
7,OR,15436982.0
7,PA,69875805.0
7,RI,2628496.0
7,SC,29138200.0
7,SD,4626642.0
7,TN,24630136.0
7,TX,144199421.0
7,US-TOTAL,1214246150.0
7,UT,13653015.0
7,VA,29156180.0
7,VT,532887.0
7,WA,29261937.0
7,WI,20454426.0
7,WV,21125843.0
7,WY,12408115.0
8,AK,1712160.0
8,AL,41811419.0
8,AR,19929865.0
8,AZ,34494019.0
8,CA,61893535.0
8,CO,16498556.0
8,CT,12769023.0
8,DC,61062.0
8,DE,1972057.0
8,FL,76092663.0
8,GA,39693334.0
8,HI,2480945.0
8,IA,17699362.0
8,ID,4295099.0
8,IL,52264793.0
8,IN,30440553.0
8,KS,15984499.0
8,KY,22000951.0
8,LA,30486077.0
8,MA,6702884.0
8,MD,11665664.0
8,ME,2777570.0
8,MI,32986149.0
8,MN,18612187.0
8,MO,24817926.0
8,MS,20673826.0
8,MT,5930643.0
8,NC,40557399.0
8,ND,11303530.0
8,NE,11448041.0
8,NH,5310603.0
8,NJ,19907873.0
8,NM,10391442.0
8,NV,13499524.0
8,NY,37823144.0
8,OH,36106061.0
8,OK,26302418.0
8,OR,15289720.0
8,PA,69915365.0
8,RI,2770027.0
8,SC,27841808.0
8,SD,4967008.0
8,TN,25045975.0
8,TX,150421812.0
8,US-TOTAL,1240059529.0
8,UT,13192975.0
8,VA,29039217.0
8,VT,535248.0
8,WA,28006114.0
8,WI,20559360.0
8,WV,21607098.0
8,WY,11470960.0
9,AK,1380947.0
9,AL,36790642.0
9,AR,17165944.0
9,AZ,30345036.0
9,CA,54236120.0
9,CO,13986032.0
9,CT,11166414.0
9,DC,55474.0
9,DE,892105.0
9,FL,67519980.0
9,GA,30610843.0
